15:31:55.918-[DESKTOP-44TL0F9][sys]-- INFO 12160 --- [           main] com.zwnl.user.UserApplication            : The following 1 profile is active: "local"
15:31:55.923-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.boot.SpringApplication               : Loading source class com.zwnl.user.UserApplication,class org.springframework.cloud.bootstrap.BootstrapApplicationListener$BootstrapMarkerConfiguration
15:31:55.949-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] ConfigServletWebServerApplicationContext : Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@441cc260
15:31:55.967-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.context.annotation.internalConfigurationAnnotationProcessor'
15:31:55.967-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
15:31:56.000-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\project\zwnl\zwnl-user\target\classes\com\zwnl\user\config\SecurityConfig.class]
15:31:56.025-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\project\zwnl\zwnl-user\target\classes\com\zwnl\user\controller\UsersController.class]
15:31:56.028-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\project\zwnl\zwnl-user\target\classes\com\zwnl\user\properties\JwtProperties.class]
15:31:56.029-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\project\zwnl\zwnl-user\target\classes\com\zwnl\user\properties\WeChatProperties.class]
15:31:56.031-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\project\zwnl\zwnl-user\target\classes\com\zwnl\user\service\impl\UserDetailServiceImpl.class]
15:31:56.033-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: file [E:\project\zwnl\zwnl-user\target\classes\com\zwnl\user\service\impl\UsersServiceImpl.class]
15:31:56.429-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/web/OpenApiControllerWebMvc.class]
15:31:56.435-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/OasVendorExtensionsMapperImpl.class]
15:31:56.437-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/StyleEnumMapperImpl.class]
15:31:56.437-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/SecuritySchemeMapperImpl.class]
15:31:56.437-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/OasSecurityMapperImpl.class]
15:31:56.439-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/SchemaMapperImpl.class]
15:31:56.439-[DESKTOP-44TL0F9][sys]--DEBUG 12160 --- [           main] o.s.c.a.ClassPathBeanDefinitionScanner   : Identified candidate component class: URL [jar:file:/E:/.m2/repository/io/springfox/springfox-oas/3.0.0/springfox-oas-3.0.0.jar!/springfox/documentation/oas/mappers/ExamplesMapperImpl.class]
